PTHREATQ IND @@2561
SEEM IND @@2570
ALIEN IND @@2580
FEELER IND @@2590
SILENCE IND @@2600
CHANGESUBJ IND @@2610
MOVEON IND @@2609
DEFENSEREPLIES IND @@2611
SENSREPLIES IND @@2612
GUARD IND @@2613
QFEEL IND @@2614
PANIC IND @@2615
SUSPREPLIES IND @@2616
NEXTFL IND @@2617
MANY IND @@2621
MUCH IND @@2622
LONG IND @@2623
OFTEN IND @@2624
WHY IND @@2625
ALREADYSAID IND @@2626
KNOWNOTHING IND @@2627
UNKNOWN IND @@2620
QREPLIES IND @@2630
SREPLIES IND @@2640
BELIEVEREPLIES IND @@2650
PBELIEVEREPLIES IND @@2651
ALOOF IND @@2660
PALOOF IND @@2661
ALOOF2 IND @@2662
TURNOFF IND @@2670
MAFIASET IND @@2671
MAFIASET TYPE INSTITUTION
MAFIASET STORY XX1010
MAFIASET STORY (KNOW MAFIA I)
MAFIASET NEXT MAFIASET
MAFIASET WORDS MAFIA
EXHAUST IND @@2672
DGOOD IND @@2994
DBAD IND @@2996
NEGADJ IND @@3060
POSADJ IND @@3070
SENSITIVELIST IND @@3080
SENSITIVELIST SETS LOOKS
SENSITIVELIST SETS SEXLIFE
SENSITIVELIST SETS FAMILY
SENSITIVELIST SETS EDUCATION
SENSITIVELIST SETS RELIGION
SPECCONCEPT IND @@3100
DISTRUST IND @@3170
ANGRY IND @@2950
FEARFUL IND @@2990
MISTRUSTFUL IND @@2850
IYOUME IND @@4100
